"borough","firstdate","covidresult","N"
"Bronx",2020-03-16,0,7
"Bronx",2020-03-16,1,1
"Bronx",2020-03-23,0,48
"Bronx",2020-03-23,1,12
"Bronx",2020-03-30,0,70
"Bronx",2020-03-30,1,19
"Bronx",2020-04-06,0,55
"Bronx",2020-04-06,1,11
"Bronx",2020-04-13,0,33
"Bronx",2020-04-13,1,9
"Bronx",2020-04-20,0,16
"Bronx",2020-04-27,0,23
"Bronx",2020-04-27,1,5
"Brooklyn",2020-03-16,0,3
"Brooklyn",2020-03-23,0,64
"Brooklyn",2020-03-23,1,13
"Brooklyn",2020-03-30,0,67
"Brooklyn",2020-03-30,1,18
"Brooklyn",2020-04-06,0,67
"Brooklyn",2020-04-06,1,14
"Brooklyn",2020-04-13,0,68
"Brooklyn",2020-04-13,1,11
"Brooklyn",2020-04-20,0,26
"Brooklyn",2020-04-20,1,5
"Brooklyn",2020-04-27,0,27
"Brooklyn",2020-04-27,1,3
"Manhattan",2020-03-16,0,13
"Manhattan",2020-03-16,1,1
"Manhattan",2020-03-23,0,128
"Manhattan",2020-03-23,1,11
"Manhattan",2020-03-30,0,152
"Manhattan",2020-03-30,1,21
"Manhattan",2020-04-06,0,142
"Manhattan",2020-04-06,1,20
"Manhattan",2020-04-13,0,125
"Manhattan",2020-04-13,1,13
"Manhattan",2020-04-20,0,41
"Manhattan",2020-04-20,1,3
"Manhattan",2020-04-27,0,45
"Manhattan",2020-04-27,1,3
"NorthQueens",2020-03-23,0,50
"NorthQueens",2020-03-23,1,9
"NorthQueens",2020-03-30,0,65
"NorthQueens",2020-03-30,1,13
"NorthQueens",2020-04-06,0,54
"NorthQueens",2020-04-06,1,8
"NorthQueens",2020-04-13,0,43
"NorthQueens",2020-04-13,1,3
"NorthQueens",2020-04-20,0,16
"NorthQueens",2020-04-20,1,3
"NorthQueens",2020-04-27,0,9
"NorthQueens",2020-04-27,1,2
"SouthQueens",2020-03-23,0,12
"SouthQueens",2020-03-23,1,3
"SouthQueens",2020-03-30,0,12
"SouthQueens",2020-03-30,1,5
"SouthQueens",2020-04-06,0,10
"SouthQueens",2020-04-06,1,2
"SouthQueens",2020-04-13,0,7
"SouthQueens",2020-04-13,1,1
"SouthQueens",2020-04-20,0,2
"SouthQueens",2020-04-20,1,1
"SouthQueens",2020-04-27,0,2
"SouthQueens",2020-04-27,1,1
